created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-12-03T17:28:47+05:30,70,-127.00000,106,1490,-90.30369,65,66,52,13492.00000,,,,
2024-12-03T17:29:03+05:30,71,-127.00000,0,1483,-90.30369,119,147,119,3100.00000,,,,
2024-12-03T17:29:18+05:30,72,-127.00000,110,1738,-55.14022,99,114,93,2961.00000,,,,
2024-12-03T17:35:57+05:30,73,-127.00000,100,1490,19.17823,82,82,65,2664.00000,,,,
2024-12-03T17:36:13+05:30,74,-127.00000,0,4095,-59.07744,82,75,58,5515.00000,,,,
2024-12-03T17:36:28+05:30,75,-127.00000,109,1522,-90.30369,46,45,35,2717.00000,,,,
2024-12-03T17:36:44+05:30,76,-127.00000,0,1756,-55.27599,42,43,33,3159.00000,,,,
2024-12-03T17:38:49+05:30,77,-127.00000,0,1727,20.37298,64,63,50,6100.00000,,,,
2024-12-03T17:39:05+05:30,78,-127.00000,0,1515,-64.69817,160,187,145,19924.00000,,,,
2024-12-03T17:39:21+05:30,79,-127.00000,0,1514,-62.71598,192,217,166,10230.00000,,,,
2024-12-03T17:49:01+05:30,80,-127.00000,60,1531,-90.30369,77,77,61,11285.00000,,,,
2024-12-03T17:49:17+05:30,81,-127.00000,133,1771,-52.96796,96,102,80,15920.00000,,,,
2024-12-03T17:49:33+05:30,82,-127.00000,0,1766,-90.30369,105,107,83,15665.00000,,,,
2024-12-03T17:49:58+05:30,83,-127.00000,101,1701,-52.28913,108,110,86,13758.00000,,,,
2024-12-03T17:51:22+05:30,84,-127.00000,122,1728,-53.59248,105,108,84,13207.00000,,,,
2024-12-03T17:51:43+05:30,85,-127.00000,0,1489,-90.30369,104,107,83,14393.00000,,,,
2024-12-03T17:52:05+05:30,86,-127.00000,0,1709,-90.30369,104,107,84,15098.00000,,,,
2024-12-03T17:52:26+05:30,87,-127.00000,0,1482,-90.30369,108,111,87,12934.00000,,,,
2024-12-03T17:52:48+05:30,88,-127.00000,129,1750,-90.30369,256,312,250,6227.00000,,,,
2024-12-03T17:53:09+05:30,89,-127.00000,0,1744,-90.30369,104,105,82,7111.00000,,,,
2024-12-05T15:58:44+05:30,90,-127.00000,112,1535,-53.70110,63,85,72,29234.00000,,,,
2024-12-05T15:59:04+05:30,91,-127.00000,0,1535,-90.30369,64,87,72,6966.00000,,,,
2024-12-05T15:59:23+05:30,92,-127.00000,11,1527,-53.34810,79,102,84,8770.00000,,,,
2024-12-05T15:59:47+05:30,93,-127.00000,0,1529,-90.30369,75,98,81,8846.00000,,,,
2024-12-05T16:00:08+05:30,94,-127.00000,91,1520,-53.56533,75,98,82,8953.00000,,,,
2024-12-05T16:00:26+05:30,95,-127.00000,0,1776,-90.30369,74,97,79,8830.00000,,,,
2024-12-05T16:00:50+05:30,96,-127.00000,115,1769,-90.30369,98,117,94,9028.00000,,,,
2024-12-05T16:01:11+05:30,97,-127.00000,0,1731,-90.30369,102,118,95,8826.00000,,,,
2024-12-05T16:01:29+05:30,98,-127.00000,0,1532,-90.30369,66,89,74,8923.00000,,,,
2024-12-05T16:01:54+05:30,99,-127.00000,116,1535,-53.32095,65,88,73,8893.00000,,,,
2024-12-05T16:02:15+05:30,100,-127.00000,119,1523,-53.21234,77,98,82,8937.00000,,,,
2024-12-05T16:03:07+05:30,101,-127.00000,113,1534,-52.85934,80,101,83,8859.00000,,,,
2024-12-05T16:03:28+05:30,102,-127.00000,117,1775,-53.13088,77,98,81,8843.00000,,,,
2024-12-05T16:03:49+05:30,103,-127.00000,119,1535,-53.72825,81,102,84,8844.00000,,,,
2024-12-05T16:04:10+05:30,104,-127.00000,117,1749,-53.56533,97,115,96,8807.00000,,,,
2024-12-05T16:04:31+05:30,105,-127.00000,235,1535,-53.70110,80,102,83,8923.00000,,,,
2024-12-05T16:29:15+05:30,106,-127.00000,0,1747,-90.30369,86,105,85,7464.00000,,,,
2024-12-05T16:29:32+05:30,107,-127.00000,0,1743,-90.30369,62,69,55,3219.00000,,,,
2024-12-05T16:29:58+05:30,108,-127.00000,149,1739,-54.40709,65,74,60,3386.00000,,,,
